study_idx,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,ndv,ndp
p_0,0.9734102274118682,0.7593299309157198,0.6579714570196664,0.8525729557350978,0.2878411874957669,0.7922226853648293,0.8078658310267086,0.8600110977853952,0.8176857411253873,0.7886116922599393,0.7492307673096646,0.7976257750208429,0.745473355547146,0.8082709131981697,0.8191228062990151,0.7694812729251425,0.7323840791077616,0.7051482004278612,0.832793038020139,0.2857142274052597,0.23322147455351114,0.7761560067387878,0.6619486253281724,0.7901884695189936,0.47629547435175884,0.719686056152281,0.8256781370954788,0.8753526966111466,0.7954093331363286,0.7837002696179024,0.7695516142608143,0.8074586560855057,0.8194386241737776,0.6551485787481094,0.8246644288383688,0.4912279839950905,0.23235800144270222,0.0,0.0,0.0,0.40411839891739515,0.0,0.0,0.0,0.0,0.0,0.0037762331852744546,0.03626927344873295
p_1,0.9722057227867202,0.7621008691199325,0.6567182315977494,0.8023437948585347,0.17940199037538224,0.7850830240272142,0.8019404308126313,0.8530086101528462,0.8010798861196713,0.8042311076174123,0.7061113259904412,0.6398601370635483,0.8303220722106794,0.820269971111563,0.7976236844588784,0.7843697860748874,0.5792349702428122,0.5861581879508603,0.8016808100834796,0.0,0.2172995757668821,0.7727287793838069,0.6746799095661793,0.7236842099727018,0.1671924263849775,0.7996848230181519,0.8588575908764788,0.8647327244324573,0.7058823521457265,0.7571736600122959,0.6845261881556853,0.7734167607381336,0.7858637507885057,0.4909657290282509,0.7863247856658918,0.03636362975206731,0.21292775462996433,0.0,0.0,0.0,0.329268285990482,0.0,0.0,0.0,0.0,0.0,0.0024875664354710478,0.03367861105953774
p_2,0.9750505741846305,0.7626772019394662,0.6657663623213106,0.8637845087884468,0.4866828028246634,0.8237161317243746,0.8641524789078542,0.8836204374402217,0.8386336855926794,0.809315569196262,0.7528026884730866,0.77999999675,0.8288053575943332,0.8598541427185916,0.8295826721293369,0.8155913956570123,0.691263779935268,0.6079223879715248,0.8349249651342201,0.5312499169922005,0.30515062871573734,0.7537828013335546,0.6576444447506138,0.826072757608208,0.5903614398558088,0.825757575518807,0.8836460573023113,0.8900872510360596,0.817306422876525,0.77975883666932,0.7553600858841119,0.8035750967705207,0.7960248427427954,0.6666666608340625,0.8265799248823607,0.1081080788897084,0.2990152166605621,0.0,0.005025125565010985,0.0,0.3018867891022554,0.0,0.0,0.0,0.0,0.0,0.0026287204210904626,0.023315961502756898
p_3,0.9700005762723503,0.7669799394932422,0.6514160319112752,0.8340040791476906,0.36281178726970764,0.7469961506609539,0.7208139242870368,0.850477313713141,0.8004630287940052,0.7817833341409297,0.7299651552047798,0.7602905542708731,0.7291714998162648,0.7836739570957819,0.8206151884396923,0.8096301791768921,0.7138554189990383,0.7047332779509146,0.8409690171053321,0.1791044508799327,0.28924418394444634,0.7748496049485425,0.65899522873004,0.868900093637766,0.2747111646378541,0.7475298947342601,0.796376213105716,0.8754877204065368,0.7971316808381596,0.7291953226193301,0.7367495035479449,0.8056181716615067,0.7666025005615917,0.6051212897229024,0.83952870823139,0.0,0.38053097134662073,0.0,0.0,0.0,0.09615384461291916,0.0,0.0,0.0,0.0,0.0,0.00517952573473846,0.06654764012245198
p_4,0.9741292239337687,0.7597449523914753,0.6480510113413456,0.8596008440354802,0.4415584358239164,0.7839443467282469,0.8570581536577981,0.8627638640597842,0.8561852520249997,0.8177885440233704,0.7673162696235825,0.755280405115512,0.8228228212784857,0.880004139420804,0.7907894728171169,0.7868474162479162,0.7141353885859859,0.619661012748061,0.8007002664694552,0.38235288494810515,0.3395981831523125,0.7613962644849934,0.6551168031002039,0.8541584967187771,0.6113207489498043,0.8246131169170311,0.8657264388795541,0.8819902881324729,0.8542443055339086,0.7971676966951979,0.7809798252137853,0.8265087298820497,0.7997814782852185,0.6276595702948167,0.8207941962049715,0.18181814049587713,0.5313463487597824,0.0,0.003565062356817626,0.0,0.5035161673204477,0.0,0.0,0.0,0.0,0.0,0.0028378950957655374,0.023693766434514534
p_5,0.9731320818340801,0.7522828871238756,0.6459951073536998,0.8855928575014709,0.32070706665773907,0.7731174720850222,0.8321226607848776,0.8681337718083904,0.8098843314301952,0.829237779618231,0.7529187496952139,0.7942157931195334,0.7597208355939161,0.8508758023201086,0.7969712258485904,0.7770851861766542,0.6488856388422154,0.672727267630854,0.8250385794511588,0.3103447740784872,0.3599508577398596,0.7676294186502324,0.6610509819190741,0.8775102251506872,0.4447552385348918,0.77616811510435,0.8444875476883764,0.878183233939611,0.8183884289066236,0.838549516057674,0.7793377462798999,0.8236217374694705,0.813251531746622,0.7073529359753461,0.8345501276765551,0.19230765532545088,0.4825737239540283,0.0,0.002659574450401766,0.0,0.4594594525606689,0.0,0.0,0.0,0.0,0.0,0.0003484485388480523,0.007394182235827997
p_6,0.9719853372961395,0.7631115252295533,0.6356001692144826,0.9023809521474169,0.45770064579500386,0.7226154205009103,0.8270793754497937,0.832739432688592,0.7676499023601911,0.7971150822649576,0.7495621697534096,0.7925905113876213,0.820434029536328,0.8027765498088213,0.7982054390146692,0.7662988947685584,0.6227333010936165,0.5250463773186792,0.8263462543182369,0.4062499365234474,0.38054968019344837,0.7660690989437624,0.6394628180758131,0.8775192790883548,0.34951455886511457,0.7397999602050406,0.8408890588874541,0.8758628892669228,0.7768103154669787,0.6969212733600498,0.699469366378511,0.8178993156193738,0.8230588215928029,0.6599634308961295,0.8103837464747493,0.08888886913580685,0.42140468026084715,0.0,0.004839685391169478,0.0,0.061728394109129725,0.0,0.0,0.0,0.0,0.0,0.0011065360346312802,0.010524565956105543
p_7,0.9757801702576645,0.7630603882635737,0.6680946100937296,0.846703269594916,0.44467212659147415,0.7773894542539463,0.8483835377721652,0.8990027578511549,0.8351503995334948,0.8201219504841087,0.7278225788109309,0.776355418763722,0.8129510419095942,0.8464187195193724,0.8339504961664875,0.778565350783767,0.6990059614353639,0.5981465829979227,0.8502800713469286,0.33333327777778704,0.4093333306044445,0.7616044799119444,0.6675818126774918,0.8691208173484306,0.36650484992105764,0.8285230264686526,0.8740105989623034,0.9019543253722253,0.8257075461960997,0.811438626650736,0.7770764938725663,0.8284493882701407,0.8074375934604238,0.7047618991685564,0.8292925269979208,0.13043475425331427,0.48566198605453337,0.0,0.006191950400495868,0.0,0.5683646036412252,0.0,0.0,0.0,0.0,0.0,0.0002849042444829164,0.0035621607851434147
p_8,0.973931318544252,0.760735370557909,0.6569871057095785,0.8315613305613501,0.5166994055334047,0.8020121787656838,0.8652876079676947,0.8666092011277831,0.8221184183535938,0.8326499467601317,0.794839360498762,0.7669120197444373,0.7686832724122185,0.8666231542509794,0.8265039223773933,0.7975424201359204,0.6866523886985996,0.6531881753251308,0.8488991469736336,0.5098038216070938,0.3521248885331753,0.7629654906654724,0.6588195714212965,0.7388733776162971,0.5814167379814468,0.8230531344326529,0.8788669969001066,0.8849721702035511,0.806759937932179,0.8032580230745099,0.7637935398835658,0.836029113590751,0.8340402947135729,0.7001522016731188,0.8350953276993808,0.09523807256236366,0.24855012221582334,0.0,0.0,0.0,0.548571420734694,0.0,0.0,0.0,0.0,0.0,0.0004026862119471373,0.006854460904745662
p_9,0.9720880544483876,0.7765027484095234,0.6376328204488044,0.8902917096476732,0.2508833877935797,0.8029209921980992,0.8574621374531518,0.8874896038449034,0.8592800363963534,0.8436382210495331,0.7484795813456134,0.7202891969259412,0.8139375977819686,0.877703233017325,0.7559704197406105,0.8024975326897879,0.5961214140129788,0.668112793433747,0.7979982669637203,0.5176469979238826,0.3805774253242951,0.7694212606331425,0.6404998908311968,0.8710209853231984,0.45169712204050755,0.8487796088598337,0.855479283215019,0.8911094955843571,0.8333333323794262,0.8121566535423032,0.7778276463693276,0.7944274540781204,0.7952966306913505,0.6829268240630577,0.804123710565446,0.055555540123461075,0.4360189550499265,0.0,0.004761904724111868,0.0,0.3512930996627899,0.0,0.0,0.0,0.0,0.0,0.008144943709643207,0.08484419324614316
