study_idx,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,ndv,ndp
p_0,0.9798025287101797,0.8321331784612187,0.7505500342373991,0.8796632178424187,0.34472510631909203,0.7732966339079338,0.7968922796390501,0.8254151166385129,0.798528328478987,0.7543650786167013,0.7322355047772716,0.8417009579102854,0.7623504920375702,0.8577093027675684,0.8304165200993905,0.789693591481677,0.7412164686769306,0.6678023793202523,0.8327541648108757,0.41025630506248584,0.2470389149996708,0.8364643088439031,0.7471368867746027,0.8475919826147233,0.4955357087551818,0.7253648365241221,0.8267842993906519,0.8643631886031738,0.7777955004342072,0.6752254634745619,0.6626924971120405,0.8175377170813223,0.7889135237496374,0.5981452813126331,0.8240241330797842,0.4363635570248078,0.25344827367717004,0.0,0.004958677644969606,0.0,0.4793103365636149,0.0,0.0,0.0,0.0,0.0,0.01433364383538186,0.0
p_1,0.976832843039108,0.8269019800672627,0.744947282278198,0.836279592206709,0.1830985872512069,0.7865791187513785,0.7676833847753366,0.8508304281059922,0.774193547403869,0.7293324102997818,0.6824845665847135,0.7145833296115451,0.8375286025218753,0.863982144966682,0.8058325486304492,0.7646625748106439,0.64337699833393,0.5742574213689458,0.8438560753191988,0.0,0.18594104097572517,0.8266819467603094,0.7476980036604348,0.8284694896821247,0.1947565506599897,0.7884518222570788,0.8335398495739225,0.8804353564323795,0.7305718028762423,0.6977805064498811,0.6889099513006447,0.7835070558218734,0.772571426805551,0.6236702086192141,0.8307692300552048,0.0,0.20360551215688746,0.0,0.001712328752462939,0.0,0.3232876623756805,0.0,0.0,0.0,0.0,0.0,0.012691903264925444,0.0
p_2,0.9812800995501784,0.8424354426063455,0.7665874331011207,0.8858848483467933,0.5747422606347647,0.8158261675529205,0.8710968562217638,0.8724088629542478,0.8466511496681521,0.7458033565011954,0.7127659555511543,0.8318747082824748,0.8507970609872881,0.8928780987067482,0.846969855217971,0.8099260802272278,0.7275109138536641,0.585445620724075,0.8665975291160578,0.5999999000000167,0.31725615951493935,0.8401450420975297,0.7642696175377395,0.8734133308778433,0.6104651103637102,0.8441772746215884,0.8980580642080406,0.8832425886973729,0.8268097907752195,0.7026365550087479,0.7242399765288136,0.831227242630941,0.8191092291139357,0.686462876100761,0.86065573686509,0.0,0.3290891250823788,0.0,0.005050504986736049,0.0,0.4390243813206427,0.0,0.0,0.0,0.0,0.0,0.012626508089942853,0.0
p_3,0.9744128399316574,0.8288364122698916,0.7244900020384841,0.862685342048476,0.44862154826288786,0.763555128554282,0.7072417193641212,0.8424348559982833,0.7924694796404332,0.6934506347082594,0.6732322224281422,0.8049580721656651,0.761309670679056,0.8628578072428923,0.820465287959528,0.8066701385964822,0.7169811293146664,0.6144486645289075,0.8340845302882179,0.24999993750001562,0.3323782211147692,0.823795183216322,0.7216464270442251,0.8869674707714722,0.3457526028948942,0.7807814786311844,0.7838678364040913,0.8568464725352429,0.7775061114133305,0.6210095492305506,0.6257053278459659,0.8104552225151695,0.7480430510077224,0.5970974388590363,0.8275741703075269,0.0,0.3627906955651704,0.0,0.005905511752898506,0.0,0.10062892765317838,0.0,0.0,0.0,0.0,0.0,0.01573078493411659,0.0
p_4,0.9801226775203945,0.8393640291843549,0.7453034519065432,0.8924493271044862,0.4864864791818847,0.8392239900229739,0.8808534896380777,0.8455930354485348,0.8394213749199486,0.7342085228936372,0.7413467574127403,0.841191999844617,0.8329067626455087,0.9049020130699723,0.836128738852982,0.8145161266863015,0.7002398053547569,0.5844618632611414,0.8388274859790221,0.46808500679042403,0.3808873694137381,0.845575305213408,0.7598249423556774,0.8758966498795541,0.6517766431291712,0.8447356104056355,0.8831913951720407,0.8525187799091257,0.8395710672418303,0.7609618097492109,0.7691622086248614,0.8424469911307224,0.8096923473735574,0.657807304599287,0.8532709360892358,0.11111108024692215,0.5616797870777964,0.0,0.0017857142697704084,0.0,0.580756003767079,0.0,0.0,0.0,0.0,0.0,0.014027502473350084,5.397213310823356e-05
p_5,0.9794078047736022,0.8398746510717958,0.7542588702680376,0.9125335669116749,0.3723076865798818,0.7876799944934956,0.8521104410621937,0.8661553538630095,0.8469171581593075,0.7762137309430109,0.6882395540008704,0.8527655132361321,0.792338707680598,0.8746797783499959,0.8106891143199989,0.7707969727434643,0.6691785958207287,0.6193447689598692,0.8443030415149105,0.33333326388890333,0.3428201788950829,0.8431138285519661,0.7492991450508957,0.9133266824384346,0.4513274269715719,0.7935130040060856,0.8649171165755454,0.8541349717920435,0.8385066194502858,0.808064221120175,0.7729022305032018,0.842773342780293,0.7989703969138471,0.7062600264345102,0.8424093282952719,0.1851851508916387,0.4661572026956485,0.0,0.005319148900803532,0.0,0.6052631446214223,0.0,0.0,0.0,0.0,0.0,0.012052242825098924,0.0
p_6,0.9765750048639428,0.8261569507599142,0.6999754083014945,0.9170622589991145,0.49535603203966944,0.7284233950602907,0.8296331800380813,0.8121218969796337,0.7459349584020135,0.5550422528957271,0.6074790114284431,0.8390896898551815,0.8065106056940187,0.8353361919972649,0.8270226088921978,0.7742424222872666,0.6659804391869252,0.5986547018088038,0.8238103979204388,0.34146333135040696,0.3412462882696863,0.8234671032758745,0.7087935353174748,0.9069339074936986,0.41075794118877823,0.7613398634635278,0.8532364496519459,0.8461917667943112,0.759075143631127,0.5118023378427065,0.5068421039293629,0.8419597331357818,0.7971892396481967,0.6928229598772923,0.8292945603757902,0.0,0.423364950457489,0.0,0.006045949177473101,0.0,0.18709676815816878,0.0,0.0,0.0,0.0,0.0,0.016210039981869696,0.00016191639932470068
p_7,0.9819623575922322,0.8398906820120061,0.7661520333231663,0.8557283588259598,0.4846491174928825,0.8254501645874175,0.8657874216298441,0.8937830753761784,0.8317427103781636,0.6920843809830808,0.6447746868533685,0.8109412678562298,0.8175182466451091,0.8789260887731429,0.8240394080551336,0.7855946376728234,0.7231985908471062,0.5612582734995176,0.8503224556258326,0.23076918639054106,0.4005134762483089,0.8435757210867141,0.7772155209885596,0.8889487659690717,0.3911917047773095,0.8356207700855035,0.8845693329170298,0.8891991506259359,0.8351464425162625,0.7033557040236283,0.6881237507781344,0.8279883373600198,0.8284228748986806,0.6682027598448329,0.8506009108468702,0.19999996666667222,0.4435994902180007,0.0,0.004140786706617115,0.0,0.5080906066652006,0.0,0.0,0.0,0.0,0.0,0.01854432732685625,0.00010794426621646712
p_8,0.9801922177444615,0.8431455674379582,0.7567159366331508,0.8557559650218405,0.5512437756095147,0.8080434780412925,0.8719068985756707,0.8388450279694998,0.8404870239324966,0.7238829281076108,0.7396616523974116,0.8154670719162822,0.8110269343202295,0.8886979726746672,0.8357843127943579,0.81120513332009,0.735483868331599,0.6218749951416016,0.8608632299573272,0.37735841936633596,0.38331854140799876,0.8446553540538678,0.7673949393921287,0.8121066264234481,0.6104702696497758,0.8440983176966218,0.8944099378308682,0.8842127860410045,0.828369172127195,0.7337451568068839,0.7375780256240249,0.8282419574871112,0.828814021285089,0.671641786032524,0.8565241942604743,0.058823512110731724,0.2524752454416234,0.0,0.0,0.0,0.5333333244444446,0.0,0.0,0.0,0.0,0.0,0.020516789532230306,0.00021588853243293424
p_9,0.976837394081142,0.8489754196022837,0.7287615000573198,0.9146951013787917,0.3123732188159591,0.8326304445643742,0.87811120167069,0.8806564197656871,0.8337978200737297,0.7639374417995056,0.6994394120322566,0.7711659372464154,0.8471676280990345,0.9095231949961252,0.7982940281004842,0.8043621916577587,0.6775469798340901,0.6602230434184161,0.8539413418552652,0.5652173298676815,0.4274084095833894,0.8420686390845707,0.720409429182563,0.9114825625103524,0.5202156264121883,0.8393943076990408,0.8586600784572758,0.8927301698585692,0.8153368361020822,0.7460564744439567,0.7445061026759021,0.8217926176663238,0.8236564925097043,0.6994619469680097,0.8419887270108809,0.09523804988664292,0.4630303002240588,0.0,0.0015898251065991646,0.0,0.4990098911087151,0.0,0.0,0.0,0.0,0.0,0.011749928072460046,0.0
