feature,beta,HR,z,p,q05,q10,coverage,events
SUVz_label2_p50,-0.22367501593933534,0.799574941261746,-2.1306765979950195,0.03311579430801048,0.6194018084175542,0.6194018084175542,128,97
SUVz_label2_p90,-0.2246244814238292,0.7988161327410062,-2.1282550208205295,0.03331594519681769,0.6194018084175542,0.6194018084175542,128,97
SUVz_label3_p50,0.2037035206362886,1.2259346352504394,1.69160847885284,0.09072064877667718,0.6194018084175542,0.6194018084175542,128,97
SUVz_label3_p90,0.19773689538580633,1.2186417213783494,1.721066067849072,0.08523883580246738,0.6194018084175542,0.6194018084175542,128,97
SUVz_label5_p50,0.023785045932282825,1.024070166182368,0.21670390224077973,0.8284391067202164,0.8755082062442671,0.8755082062442671,128,97
SUVz_label5_p90,0.0927390477133091,1.0971753874818877,0.8502831479590781,0.3951676834834379,0.7526784540438083,0.7526784540438083,128,97
SUVz_label6_p50,-0.06943556915763084,0.9329202402851109,-0.6225684628408387,0.5335681409472666,0.8429823820523606,0.8429823820523606,128,97
SUVz_label6_p90,-0.04236649958727447,0.9585184195844163,-0.4079595484280678,0.6833033732198437,0.8755082062442671,0.8755082062442671,128,97
SUVz_label8_p50,0.17592214163751,1.1923452209901932,1.8744705874341228,0.06086559232525346,0.6194018084175542,0.6194018084175542,128,97
SUVz_label8_p90,0.19276737113630638,1.2126006747888216,1.9772321205140422,0.04801539842231062,0.6194018084175542,0.6194018084175542,128,97
SUVz_label9_p50,0.05484901585004333,1.0563811058308494,0.46319392714249674,0.6432253687927734,0.8755082062442671,0.8755082062442671,128,97
SUVz_label9_p90,0.10366664777410252,1.1092306287786873,0.8771044860459548,0.38042988828878643,0.7526784540438083,0.7526784540438083,128,97
SUVz_label10_p50,-0.21161226820818166,0.8092784197143,-1.8251261013469262,0.06798200218779549,0.6194018084175542,0.6194018084175542,128,97
SUVz_label10_p90,-0.14868809734568175,0.8618378825052598,-1.2409152214964567,0.21463706906094737,0.7093673927383735,0.7093673927383735,128,97
SUVz_label11_p50,-0.03791194848452336,0.9627977129567137,-0.3161315669739185,0.7519026474662249,0.8755082062442671,0.8755082062442671,128,97
SUVz_label11_p90,0.02728262012199125,1.0276581986111584,0.23156307334942422,0.8168773911579308,0.8755082062442671,0.8755082062442671,128,97
SUVz_label12_p50,0.10195276341322855,1.107331163947912,0.9270606740548933,0.35389503287621604,0.7361016683825293,0.7361016683825293,128,97
SUVz_label12_p90,0.16475333207428242,1.1791022361343682,1.576950135835183,0.11480699910508019,0.6194018084175542,0.6194018084175542,128,97
SUVz_label13_p50,-0.04170026656212976,0.9591572289850839,-0.3545602996312639,0.722919022480996,0.8755082062442671,0.8755082062442671,128,97
SUVz_label13_p90,-0.009769971195491585,0.9902775999242154,-0.08552903826722347,0.9318408108479832,0.9501121992959829,0.9501121992959829,128,97
